episode,total_reward,target_reward,smoothed_total_reward_100,smoothed_target_reward_100
158,-742.4324831554392,-39.41786062127893,-528.5016329256943,-63.746375608245636
159,-626.66376179913,-81.77420157283154,-530.7114752186556,-63.405923549071254
160,-583.4755480264934,-30.295681780368174,-533.739409663939,-63.44174032344079
161,-486.2485895236503,-79.53377527341117,-534.3629659388295,-63.74176975114998
162,-585.1759512669062,-60.04624872486951,-536.2600341013283,-63.721394641911914
163,-560.3291191261668,-127.08537828072608,-538.150841350172,-64.43894855312256
164,-538.1861362681022,-65.45526107607202,-539.8175859511257,-64.39607049928097
165,-674.4061525480595,-11.116061978772064,-541.7675906486797,-64.24552837791559
166,-520.3784768154852,-47.39696392163499,-542.9635441375178,-64.12433825442002
167,-496.7297026273941,-52.44193069331364,-544.7548119553046,-64.07972298487168
168,-539.6911922230619,-35.88363599330244,-545.848066503242,-64.19654732737449
169,-511.2243308763272,-34.05856562012493,-546.9866381998851,-63.91746157074551
170,-453.95407678193027,-14.89293436706586,-547.8627512671743,-63.40007778443939
171,-365.68206400136364,-14.90578563840377,-547.1296622131889,-62.85990689006641
172,-472.04954871915885,-81.15735075762207,-547.9755807754955,-63.48736448638103
173,-512.8341268142001,-65.73967684259347,-554.2096734218405,-63.3195833292616
174,-672.2874049629678,-60.896043987696835,-557.0300514745968,-63.22517698943321
175,-573.1123906951727,-31.726687669456837,-558.4937415642088,-62.49384781442381
176,-418.6441119071801,-14.653505896563585,-559.6389612766244,-62.407577485729284
177,-636.3629683388841,-102.22649146368262,-562.8297674216395,-63.10997205928244
178,-288.40740257708677,-67.81762524350336,-562.416269958441,-63.4380006545022
179,-340.4082442597778,-109.22778738810983,-562.3690486671055,-64.29160507902047
180,-472.34978795489894,-18.29397913511486,-562.9553669704062,-64.29355632056375
181,-293.87405266266586,-18.90639393086627,-561.8282376906915,-63.696059833138975
182,-333.6409333098985,-79.09496662682888,-562.1892462189007,-64.07933909866607
183,-335.67315734990154,-16.787594659237108,-561.6356671379065,-63.62309148268349
184,-293.05131297720004,-142.6782150327759,-560.9481804416993,-64.86754960955918
185,-318.25079488363224,-100.09777886862246,-560.6553478808412,-65.66738630419007
186,-267.15176762680426,-16.083612637263084,-558.3669732800834,-65.1263039705713
187,-225.52655328149163,-20.392196660588578,-556.9389983589416,-65.0705642645097
188,-435.7069001546499,-15.048494567524246,-557.2338360388629,-64.70245864792982
189,-356.4777536637147,-16.764944827635787,-557.1785179174867,-64.50060654652826
190,-396.63774572419067,-94.17950984605498,-556.6854369996594,-65.2181400866812
191,-355.5923225938678,-18.447785621718523,-554.850207809491,-64.8851052486875
192,-316.71178012187,-91.48058760477494,-554.4955353991869,-64.83059245174604
193,-384.7006712252958,-56.02018457148598,-552.7269873281155,-65.23936512411971
194,-321.2433255680711,-14.175420035018483,-552.1101522567994,-65.21633208372391
195,-254.87046761047503,-81.02536828477339,-549.2247394808327,-65.26514752183643
196,-347.27699613620075,-13.800037860817488,-548.2484704476515,-64.88034073805224
197,-531.3112426271492,-59.893991726689784,-548.2278173378975,-64.19309521287556
198,-352.96303794635065,-67.36936643339638,-547.0125429183331,-64.00388681169132
199,-413.8442859431451,-31.97175614302408,-544.9419948551739,-63.45971784460463
200,-393.02023157454107,-47.518622347277166,-543.5405454688864,-62.94715244555894
201,-324.51850880255404,-88.68455635030793,-541.0388516818691,-63.00096122724393
202,-547.9995954172604,-55.21962062791598,-542.2291960245582,-63.35664455345603
203,-343.1853562570822,-47.9501433262128,-540.1869799529952,-63.10494687513399
204,-440.13514409771597,-14.831685013234868,-538.9577334596697,-62.413813842075605
205,-601.9502134126134,-58.32502273905155,-539.3258473162266,-62.59898310028618
206,-328.8139588152348,-19.266295034500793,-537.2537693775349,-61.89504029389615
207,-497.5476168392084,-38.44218035708106,-536.9883136087846,-62.1349020827265
208,-458.4418863380055,-18.337959667487134,-536.0544099772771,-62.12075903990617
209,-426.7113386480833,-57.986745828728445,-534.2005647118303,-62.26626819149289
210,-517.8147380503524,-37.98487885820277,-532.9239070813786,-62.49556570988309
211,-391.6921662919839,-68.99522519741022,-530.4544370246269,-62.8510224993241
212,-441.53865446371816,-44.88431661950673,-527.2016394162885,-62.6133721041747
213,-402.7255209937828,-48.80482540755693,-525.2455292698953,-61.56361094104976
214,-465.27206096007575,-28.373335245440646,-522.7128187117254,-61.29261540403266
215,-473.97636981030763,-14.87572498486843,-521.7077173641967,-60.564473033134256
216,-452.10539739643013,-61.68807717743977,-520.6909796615168,-60.58721746526638
217,-341.5995408113099,-64.94467411496717,-518.4609537575396,-60.162901814784284
218,-392.3307244830678,-58.279696041746355,-515.7521126345108,-60.347658815055965
219,-359.56341478749823,-65.83454216548577,-512.736650356307,-60.874250802605076
220,-405.2901744174921,-72.30740331565914,-510.9918438593682,-61.181274900135115
221,-516.6297849765539,-18.308888127109128,-509.76072141890216,-60.80104888208554
222,-475.892247190257,-20.697761528990135,-507.30301847970435,-59.83921013762739
223,-476.30667982240385,-116.45742636392121,-506.50497295169635,-60.457682291108064
224,-314.1856460615295,-152.73370670684034,-502.2755206932738,-61.24456957028788
225,-458.8201732240838,-111.56969911073297,-500.5996091560578,-60.62858763864935
226,-480.7010658051019,-15.285284472577638,-498.3584869463577,-60.542386840752634
227,-450.08823842120677,-52.060433485106195,-497.3316444483781,-59.87213733871087
228,-463.11267383761316,-29.745780377215073,-495.2576328945314,-59.722582609319026
229,-422.7920608914215,-51.158779918247305,-493.02365227197424,-59.68679248662636
230,-242.06247167309158,-56.20371999883682,-488.6778792347625,-59.20693622477753
231,-332.13697068671956,-67.62999446277229,-485.09571702873836,-58.458779599566604
232,-475.1733247236783,-68.87809636755607,-481.91041650317436,-57.808563365298326
233,-326.07557104183445,-39.46620855901238,-478.48526983151805,-57.25446751584455
234,-292.136139638826,-21.2615703497374,-475.22740405677837,-56.70038982104029
235,-305.8596846722238,-113.60484759757519,-471.99166179102895,-57.29816018232806
236,-413.5333339041735,-38.84740707984608,-469.1076547495993,-57.54052924756937
237,-378.7724734647686,-21.959798239528343,-465.1734028772183,-56.72739298883045
238,-250.51413136697593,-19.656204832091824,-461.715009046132,-55.79455929018658
239,-305.04123203829266,-58.89170982486473,-457.94943983820144,-56.237291361521144
240,-247.29371804391582,-87.75984926697602,-453.5906677144909,-55.889738039909844
241,-454.8962275203956,-85.88128085030004,-452.8662719209478,-56.33938619038489
242,-431.64629540057547,-91.43207721386696,-450.723824736689,-55.956327285556824
243,-193.7723895827894,-29.240271718781017,-445.8704366451005,-55.05249656896715
244,-186.61290622314803,-75.89035357428014,-441.8505479523412,-54.97045855993028
245,-333.9196237376509,-98.60241152177798,-439.1647236803443,-54.87013070138835
246,-351.0182704126867,-15.79694859903015,-436.1587064005707,-54.053095469138924
247,-318.8532962158705,-73.08291174399213,-433.4787028265373,-54.41396631966799
248,-258.520091849361,-67.81548500621655,-430.39823112400643,-54.93807259248206
249,-461.5980114135448,-57.383154984686755,-428.90170875296263,-54.62372308558754
250,-215.63945293657477,-74.23953186534263,-425.2933108247764,-55.219011000786494
251,-321.1271142238689,-18.597072707119235,-422.55425425105665,-54.94228438839733
252,-285.3651096476088,-49.175392381420146,-417.9987278548548,-55.32769560784556
253,-362.17678272845774,-83.73415628267637,-416.3349730612796,-55.535588729809895
254,-190.37264735188594,-52.29053475919245,-411.9986991439229,-54.98463853814554
255,-151.12999894224814,-20.08837090740981,-407.461190856161,-53.979736052176065
256,-163.0807548336195,-23.86889179332847,-404.49595356935134,-54.06360383662396
257,-225.50257796839776,-20.222723411691014,-401.4413045781709,-53.13315906276345
258,-163.00006254541603,-100.06825295825199,-395.64698037207063,-53.739662986133176
259,-291.01820985557225,-23.81304531781488,-392.29052485263503,-53.16005142358302
260,-319.5763404496689,-17.95560288816479,-389.6515327768668,-53.03665063466099
261,-236.86200239999366,-57.93953610177215,-387.15766690563026,-52.820708242944605
262,-340.39551221455287,-26.983542619235916,-384.7098625151067,-52.49008118188827
263,-322.50170277771394,-15.838847369436486,-382.33158835162226,-51.37761587277537
264,-441.79758973180583,-114.45269750791695,-381.3677028862592,-51.867590237093815
265,-282.56106579909897,-29.56005882382012,-377.44925201876964,-52.05203020554429
266,-380.9322893822451,-90.02555843842092,-376.0547901444372,-52.47831615071215
267,-426.55223893080614,-21.04108400910681,-375.35301550747135,-52.16430768387008
268,-350.8439886214342,-18.18460408059378,-373.464543471455,-51.987317364743
269,-193.50967133032745,-67.1197159892006,-370.287396875995,-52.31792886843375
270,-381.68860494674436,-36.41103278284194,-369.56474215764314,-52.53310985259151
271,-398.488851899145,-116.78553657160299,-369.8928100366209,-53.551907361923504
272,-100.73672050569381,-20.960840359679853,-366.1796817544863,-52.94994225794408
273,-488.581853527666,-60.68369690646938,-365.937159021621,-52.89938245858284
274,-528.2892794240904,-56.54982229056665,-364.49717776623226,-52.85592024161154
275,-279.8093008591551,-20.459770722673007,-361.56414686787207,-52.74325107214371
276,-377.57168293789545,-80.36750425353446,-361.15342257817923,-53.40039105571342
277,-257.24431943226017,-16.512338619074804,-357.36223608911297,-52.54324952726734
278,-300.48635794289,-138.72251258890537,-357.483025642771,-53.252298400721365
279,-336.36116444725513,-16.861326416774673,-357.44255484464577,-52.32863379100801
280,-123.13005915487547,-28.144614390216763,-353.95035755664554,-52.42714014355902
281,-259.7824699089746,-50.8262672755541,-353.6094417291086,-52.7463388770059
282,-445.8189357302755,-90.68018569811662,-354.73122175331235,-52.862191067718776
283,-309.18293532963105,-92.40721236909583,-354.4663195331097,-53.61838724481737
284,-284.7141008123856,-91.14349591565465,-354.38294741146154,-53.103040053646154
285,-280.04732778153885,-23.00014609847912,-354.0009127404406,-52.332063725944714
286,-152.68091161728202,-97.42633606539194,-352.8562041803454,-53.145490960226006
287,-240.18278123232713,-61.35954973330608,-353.00276645985383,-53.55516449095318
288,-155.67585656016718,-26.45096450052465,-350.202456023909,-53.669189190283184
289,-185.10338755933464,-19.101272180603942,-348.4887123628652,-53.692552463812866
290,-360.7273101275617,-68.15452583695506,-348.12960800689893,-53.43230262372187
291,-228.98912078392027,-116.12249292979843,-346.8635759887994,-54.409049696802676
292,-149.53644914138002,-18.406658053579985,-345.19182267899447,-53.67831040129072
293,-358.05768848864335,-48.53407934166993,-344.925392851628,-53.60344934899256
294,-373.7117495303024,-104.08424433864253,-345.4500770912503,-54.5025375920288
295,-507.50742177203944,-49.881235272233965,-347.97644663286593,-54.191096261903404
296,-305.21947369678776,-14.712282490344663,-347.5558714084718,-54.200218708198676
297,-251.91290516981914,-24.052989631901173,-344.76188803389846,-53.8418086872508
298,-254.9578580735712,-60.830026971394076,-343.7818362351707,-53.77641529263077
299,-349.2691524775464,-99.98568696456479,-343.1360849005147,-54.45655460084618
300,-255.41959754173809,-16.809706360790763,-341.7600785601867,-54.14946544098132
301,-319.39580912530437,-13.900736247624156,-341.70885156341416,-53.40162723995448
302,-380.2439748196221,-51.9655337496351,-340.0312953574377,-53.36908637117166
303,-370.27813660303286,-14.416666816394047,-340.3022231608972,-53.03375160607348
304,-344.2026794889668,-40.70919597279165,-339.34289851480975,-53.29252671566904
305,-419.53182941891345,-56.73390054282783,-337.5187146748728,-53.27661549370681
306,-362.9660907129194,-17.271410980240354,-337.86023599384964,-53.2566666531642
307,-183.3947431069177,-17.36279853901268,-334.7187072565267,-53.04587283498353
308,-293.3434525072823,-27.326891846218007,-333.0677229182195,-53.13576215677083
309,-233.53668915863815,-19.37827928943165,-331.1359764233251,-52.74967749137787
310,-452.15189720814186,-73.68448494925163,-330.47934801490294,-53.10667355228835
311,-350.1979990245137,-15.600196742970663,-330.06440634222827,-52.57272326774395
312,-362.5185964215093,-22.389724403511426,-329.2742057618062,-52.347777345584
313,-416.925214549406,-14.35218534362617,-329.41620269736245,-52.003250944944696
314,-448.4350710298514,-16.005864407187584,-329.2478327980602,-51.879576236562166
315,-364.5246776365819,-65.31378945990512,-328.1533158763229,-52.38395688131252
316,-229.95398723112785,-19.415883454757754,-325.9318017746698,-51.96123494408571
317,-376.00403726091497,-60.89845022290945,-326.27584673916584,-51.92077270516513
318,-569.8413901057553,-25.643845239566787,-328.05095339539275,-51.59441419714334
319,-507.49685590048983,-15.927675075778916,-329.5302878065227,-51.09534552624627
320,-426.4822745035283,-90.10274117252628,-329.7422088073831,-51.27329890481494
321,-448.2822673747243,-15.474732041373288,-329.0587336313648,-51.24495734395759
322,-399.63553897071347,-30.098905839750113,-328.2961665491694,-51.338968787065184
323,-412.1005404442737,-83.74647028662292,-327.6541051553881,-51.0118592262922
324,-386.28088104686134,-41.70262730775905,-328.3750575052414,-49.90154843230138
325,-424.2836225132862,-17.50744916760143,-328.0296919981334,-48.96092593287007
